id;date_of_transaction;type_of_transaction;transaction_amount;to_account_number;from_account_number
1;2022-04-26T05:35:02;CREDIT;65673;Fantastic yellow 24/365;Developer Dominican protocol
2;2022-04-26T06:51:18;DEBIT;29487;Executive 1080p;Liaison
3;2022-04-26T07:16:00;TRANSFER;14504;Washington;embrace
4;2022-04-26T03:57:51;CREDIT;43319;Open-source Forward knowledge;Hat Generic
5;2022-04-26T09:55:31;CREDIT;76510;National;Mountains Islands
6;2022-04-26T05:19:11;CREDIT;9705;copying Borders proactive;Alabama magenta
7;2022-04-26T14:08:18;DEBIT;74084;content JBOD;web-readiness virtual
8;2022-04-26T15:17:50;DEBIT;53297;invoice;payment
9;2022-04-26T15:14:06;TRANSFER;91305;deposit grid-enabled;multi-byte Alaska
10;2022-04-26T14:06:11;CREDIT;28628;Hat up;seize Rubber
